epochs,nll-oracle,nll-test,EmbeddingSimilarity,
1,9.861679,7.512284,-0.17819726857922233,
6,8.53593,6.5843115,-0.18928790647030636,
11,8.637309,6.1057925,-0.20369869539141336,
16,8.7853155,5.90719,-0.2075158205721859,
21,8.776403,5.7522655,-0.20910708988505822,
26,8.822115,5.650492,-0.20678285371065314,
31,9.557326,5.5454016,-0.24878560866741875,
36,9.448122,5.427369,-0.23693038872965974,
41,9.264014,5.385137,-0.23255610195451779,
46,8.614549,5.319617,-0.21358126112727635,
51,8.506887,5.2313704,-0.21153766558260195,
56,8.796655,5.2240224,-0.21873553189800424,
61,9.089667,5.1665597,-0.22986239416751308,
66,9.214792,5.150775,-0.2319093859682112,
71,8.967627,5.1232815,-0.22468306828811935,
76,8.634475,5.0972047,-0.20894163972881805,
81,8.315785,5.0801926,-0.19221428391589843,
86,8.341699,5.0293355,-0.1904512281234669,
90,8.493476,4.9689713,-0.1972777321312947,
