epochs,EmbeddingSimilarity,nll-test,
1,-0.028231487757064425,2.9660485,
6,-0.02459143986266556,2.3882103,
11,-0.023446302128465484,2.252721,
16,-0.025331808390222338,2.1971266,
21,-0.02265923897398437,2.1270676,
26,-0.024391459161276045,2.1117463,
31,-0.023423327915011113,2.082091,
36,-0.02306155397852861,2.0638647,
41,-0.023523660546130552,2.030464,
46,-0.025690475023324732,2.036017,
51,-0.028338363864243404,2.025206,
56,-0.036932485926754056,1.9709555,
61,-0.055169905868637854,1.9611056,
66,-0.047369436179577486,1.9580829,
71,-0.045099867003530164,1.9514135,
76,-0.04604924186237034,1.9491231,
81,-0.04399624505790404,1.945982,
86,-0.04448857120750728,1.9438003,
90,-0.03812158999073474,1.9359896,
